lakeid,treatment,year,sample_date,genus,species_name,density,individuals_measured,avg_length
SSB,manipulation,2020,10/30/2020,Keratella,Keratella taurocephala,0.395634379,87,0.1384
SSB,manipulation,2020,10/30/2020,Unknown Bdelloid,Unknown Bdelloid,0.800363802,176,0.108
SSB,manipulation,2020,10/30/2020,Unknown rotifer 6,Unknown rotifer,0.063665302,14,0.093928571
SSB,manipulation,2020,10/30/2020,Keratella,Keratella hiemalis,0.02728513,6,0.178166667
SSB,manipulation,2020,10/30/2020,Lecane,Lecane sp.,0.013642565,3,0.125
SSB,manipulation,2020,10/30/2020,Unknown rotifer 7,Unknown rotifer,0.004547522,1,0.229
SSB,manipulation,2020,10/30/2020,Diacyclops,Diacyclops sp.,0.018190086,4,1.13925
SSB,manipulation,2020,10/30/2020,Bosmina,Bosmina longirostris,0.009095043,2,0.33
SSB,manipulation,2020,10/30/2020,Daphnia,Daphnia sp.,0.004547522,1,0.317
SSB,manipulation,2021,1/13/2021,Asplanchna,Asplanchna priodonta,23.19236016,306,0.160866667
SSB,manipulation,2021,1/13/2021,Daphnia,Daphnia mendotae,0.075792027,1,0.963
SSB,manipulation,2021,1/13/2021,Ascomorpha,Ascomorpha saltans,1.894800667,25,0.11472
SSB,manipulation,2021,1/13/2021,Chaoborus,Chaoborus americanus,0.075792027,1,8.298
SSB,manipulation,2021,1/13/2021,Keratella,Keratella taurocephala,1.288464454,17,0.166705882
SSB,manipulation,2021,1/13/2021,Ascomorpha,Ascomorpha ecaudis,0.68212824,9,0.162555556
SSB,manipulation,2021,1/13/2021,Unknown Bdelloid,Unknown Bdelloid,0.22737608,3,0.182
SSB,manipulation,2021,1/13/2021,Keratella,Keratella cochlearis,0.757920267,10,0.1297
SSB,manipulation,2021,1/13/2021,Kellicottia,Kellicottia sp.,0.075792027,1,0.113
SSB,manipulation,2021,2/2/2021,Ascomorpha,Ascomorpha sp.,43.42883129,573,0.165033333
SSB,manipulation,2021,2/2/2021,Unknown rotifer 8,Unknown rotifer,26.1482492,345,0.1455
SSB,manipulation,2021,2/2/2021,Keratella,Keratella cochlearis,0.606336213,8,0.128625
SSB,manipulation,2021,2/17/2021,Asplanchna,Asplanchna sp.,4.016977414,53,0.144166667
SSB,manipulation,2021,2/17/2021,Ascomorpha,Ascomorpha ecaudis,15.08261331,199,0.155166667
SSB,manipulation,2021,2/17/2021,Ascomorpha,Ascomorpha saltans,1.894800667,25,0.13972
SSB,manipulation,2021,2/17/2021,Trichocerca,Trichocerca sp.,0.075792027,1,0.163
SSB,manipulation,2021,2/17/2021,Synchaeta,Synchaeta sp.,0.45475216,6,0.212833333
SSB,manipulation,2021,2/17/2021,Unknown rotifer 9,Unknown rotifer,0.151584053,2,0.204
SSB,manipulation,2021,3/2/2021,Asplanchna,Asplanchna priodonta,16.37107776,216,0.127933333
SSB,manipulation,2021,3/2/2021,Asplanchna,Asplanchna brightwelli,3.486433227,46,0.1582
SSB,manipulation,2021,3/2/2021,Ascomorpha,Ascomorpha saltans,2.2737608,30,0.1151
SSB,manipulation,2021,3/2/2021,Unknown rotifer 10,Unknown rotifer,4.471729574,59,0.115466667
SSB,manipulation,2021,3/2/2021,Synchaeta,Synchaeta sp.,0.151584053,2,0.1615
SSB,manipulation,2021,3/2/2021,Branchionus,Branchionus calyciflores,0.075792027,1,0.126
SSB,manipulation,2021,3/2/2021,Keratella,Keratella cochlearis,0.075792027,1,0.125
SSB,manipulation,2021,3/15/2021,Branchionus,Branchionus calyciflores,8.640291041,114,0.145433333
SSB,manipulation,2021,3/15/2021,Ascomorpha,Ascomorpha sp.,1.894800667,25,0.12444
SSB,manipulation,2021,3/15/2021,Asplanchna,Asplanchna sp.,0.530544187,7,0.177428571
SSB,manipulation,2021,3/15/2021,Bosmina,Bosmina longirostris,0.22737608,3,0.408666667
SSB,manipulation,2021,3/15/2021,Unknown rotifer 14,Unknown rotifer,1.440048507,19,0.115842105
SSB,manipulation,2021,3/15/2021,Unknown rotifer 11,Unknown rotifer,0.151584053,2,0.1625
SSB,manipulation,2021,4/13/2021,Daphnia,Daphnia rosea,0.151584053,1,0.737333333
SSB,manipulation,2021,4/13/2021,Keratella,Keratella tecta,49.41640139,326,0.129633333
SSB,manipulation,2021,4/13/2021,Keratella,Keratella cochlearis,0.303168107,2,0.1255
SSB,manipulation,2021,4/13/2021,Diacyclops,Diacyclops thomasi,0.606336213,4,1.515
SSB,manipulation,2021,4/13/2021,Unknown Bdelloid,Unknown Bdelloid,0.45475216,3,0.128666667
SSB,manipulation,2021,4/13/2021,Chaoborus,Chaoborus americanus,0.303168107,2,8.093
SSB,manipulation,2021,4/13/2021,Nauplii,Nauplii,15.15840534,100,0.228733333
SSB,manipulation,2021,4/13/2021,Unknown copepod,Unknown Cyclopoid,0.606336213,4,0.447
SSB,manipulation,2021,4/13/2021,Unknown rotifer 12,Unknown rotifer,3.031681067,20,0.0878
SSB,manipulation,2021,4/13/2021,Unknown rotifer 13,Unknown rotifer,0.757920267,5,0.152
