raw_id,lakeid,year4,sampledate,depth_range,division,taxa_name,gald,relative_total_biovolume,genus,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,taxa_id
23,SSB,2020,10/30/2020,0m,Chlorophyta,Chlamydomonas,3.76,21.849699,Chlamydomonas,1,6888.5477,6888.5477,154760.8684,0.15476087,2080
24,SSB,2020,10/30/2020,0m,Chlorophyta,Dictyosphaerium ehrenbergianum,20,0.112694,Dictyosphaerium,4,10.5865,42.3462,798.2066,7.98E-04,2212
25,SSB,2020,10/30/2020,0m,Chlorophyta,Monoraphidium griffithii,28,0.236658,Monoraphidium,1,63.5193,63.5193,1676.2358,0.00167624,1000031
26,SSB,2020,10/30/2020,0m,Chlorophyta,Oocystis parva,12,0.338081,Oocystis,1,10.5865,10.5865,2394.6209,0.00239462,2363
27,SSB,2020,10/30/2020,0m,Chlorophyta,Schroederia judayi,30,0.014087,Schroederia,1,10.5865,10.5865,99.7761,9.98E-05,2491
28,SSB,2020,10/30/2020,0m,Chrysophyta,Chrysophyceae,1.7333,0.505955,NA,1,1339.4398,1339.4398,3583.6713,0.00358367,1652
29,SSB,2020,10/30/2020,0m,Cryptophyta,Cryptomonas erosa,24.8,26.223517,Cryptomonas,1,201.1444,201.1444,185740.5191,0.18574052,3015
30,SSB,2020,10/30/2020,0m,Cryptophyta,Plagioselmis minuta,8,0.90529,Plagioselmis,1,191.3485,191.3485,6412.1472,0.00641215,3043
31,SSB,2020,10/30/2020,0m,Cyanophyta,Chroococcaceae,0.8,0.760494,NA,1,20091.5975,20091.5975,5386.5573,0.00538656,4282
32,SSB,2020,10/30/2020,0m,Cyanophyta,Aphanocapsa elachista,16,0.695266,Aphanocapsa,6,382.6971,2296.1826,4924.5462,0.00492455,4051
33,SSB,2020,10/30/2020,0m,Cyanophyta,Aphanothece nidulans,11.2,0.584624,Aphanothece,8,4018.3195,32146.556,4140.8782,0.00414088,4062
34,SSB,2020,10/30/2020,0m,Cyanophyta,Cyanodictyon planctonicum,9.6,0.086908,Cyanodictyon,8,191.3485,1530.7884,615.5683,6.16E-04,1000080
35,SSB,2020,10/30/2020,0m,Cyanophyta,Synechococcus elongatus,2.8,3.366604,Synechococcus,1,16264.6266,16264.6266,23845.569,0.02384557,4321
36,SSB,2020,10/30/2020,0m,Cyanophyta,Synechococcus sp. 1,1.2,13.687184,Synechococcus,1,241099.1701,241099.1701,96945.9763,0.09694598,4323
37,SSB,2020,10/30/2020,0m,Cyanophyta,Synechocystis,1.5376,19.088699,Synechocystis,1,70798.9627,70798.9627,135204.779,0.13520478,4285
38,SSB,2020,10/30/2020,0m,Euglenophyta,Lepocinclis acus,55,0.654249,Lepocinclis,1,21.1731,21.1731,4634.0345,0.00463403,5023
39,SSB,2020,10/30/2020,0m,Haptophyta,Chrysochromulina parva,4,1.738882,Chrysochromulina,1,382.6971,382.6971,12316.4554,0.01231646,1731
40,SSB,2020,10/30/2020,0m,Pyrrhophyta,Gymnodinium sp. 3,8,0.112694,Gymnodinium,1,10.5865,10.5865,798.2066,7.98E-04,6034
41,SSB,2021,1/13/2021,0m,Chlorophyta,Chlamydomonas,6.2222,15.544087,Chlamydomonas,1,3741.9272,3741.9272,453077.4045,0.4530774,2080
42,SSB,2021,1/13/2021,0m,Chlorophyta,Chlorogonium,106,51.832171,Chlorogonium,1,70.577,70.577,1510798.648,1.51079865,2110
43,SSB,2021,1/13/2021,0m,Chlorophyta,Monoraphidium griffithii,22,0.020082,Monoraphidium,1,28.2308,28.2308,585.3514,5.85E-04,1000031
44,SSB,2021,1/13/2021,0m,Chlorophyta,Schroederia judayi,28,0.087604,Schroederia,1,85.0438,85.0438,2553.4571,0.00255346,2491
45,SSB,2021,1/13/2021,0m,Chrysophyta,Chrysophyceae,3.2,0.24443,NA,1,425.219,425.219,7124.6293,0.00712463,1652
46,SSB,2021,1/13/2021,0m,Chrysophyta,Mallomonas akrokomas,24,0.422375,Mallomonas,1,85.0438,85.0438,12311.3315,0.01231133,1183
47,SSB,2021,1/13/2021,0m,Cryptophyta,Cryptomonas erosa,16,0.20285,Cryptomonas,1,14.1154,14.1154,5912.6431,0.00591264,3015
48,SSB,2021,1/13/2021,0m,Cryptophyta,Plagioselmis minuta,8,0.293316,Plagioselmis,1,255.1314,255.1314,8549.5297,0.00854953,3043
49,SSB,2021,1/13/2021,0m,Cryptophyta,Rhodomonas minuta,12,0.549967,Rhodomonas,1,170.0876,170.0876,16030.3819,0.01603038,3041
50,SSB,2021,1/13/2021,0m,Cyanophyta,Chroococcaceae,0.8,0.258135,NA,1,28064.4537,28064.4537,7524.08,0.00752408,4282
51,SSB,2021,1/13/2021,0m,Cyanophyta,Aphanocapsa elachista,20.4,19.147783,Aphanocapsa,38.2,8334.2923,318369.9659,558117.5519,0.55811755,4051
52,SSB,2021,1/13/2021,0m,Cyanophyta,Aphanothece nidulans,12,0.00902,Aphanothece,8,255.1314,2041.0512,262.9129,2.63E-04,4062
53,SSB,2021,1/13/2021,0m,Cyanophyta,Synechococcus sp. 1,1.2,2.34052,Synechococcus,1,169662.379,169662.379,68221.2426,0.06822124,4323
54,SSB,2021,1/13/2021,0m,Cyanophyta,Synechocystis,1.496,5.677281,Synechocystis,1,94398.6169,94398.6169,165480.7754,0.16548078,4285
55,SSB,2021,1/13/2021,0m,Euglenophyta,Euglena,19.3333,1.216287,Euglena,1,56.4616,56.4616,35452.2126,0.03545221,5020
56,SSB,2021,1/13/2021,0m,Euglenophyta,Lepocinclis,60,0.973679,Lepocinclis,1,14.1154,14.1154,28380.6884,0.02838069,5050
57,SSB,2021,1/13/2021,0m,Euglenophyta,Lepocinclis acus,80,0.632891,Lepocinclis,1,14.1154,14.1154,18447.4468,0.01844745,5023
58,SSB,2021,1/13/2021,0m,Pyrrhophyta,Gymnodinium sp. 2,11.2,0.547523,Gymnodinium,1,85.0438,85.0438,15959.1322,0.01595913,6033
59,SSB,2021,2/2/2021,0m,Chlorophyta,Chlamydomonas,4.8,8.11149,Chlamydomonas,1,7653.9419,7653.9419,300219.7482,0.30021975,2080
60,SSB,2021,2/2/2021,0m,Chlorophyta,Chlorogonium,70,6.385799,Chlorogonium,1,63.5193,63.5193,236349.049,0.23634905,2110
61,SSB,2021,2/2/2021,0m,Chlorophyta,Schroederia judayi,28,0.01941,Schroederia,1,42.3462,42.3462,718.3862,7.18E-04,2491
62,SSB,2021,2/2/2021,0m,Cryptophyta,Plagioselmis minuta,8,1.385973,Plagioselmis,1,1530.7884,1530.7884,51297.1779,0.05129718,3043
63,SSB,2021,2/2/2021,0m,Cyanophyta,Chroococcaceae,0.8,0.05267,NA,1,7271.2448,7271.2448,1949.4207,0.00194942,4282
64,SSB,2021,2/2/2021,0m,Cyanophyta,Aphanocapsa elachista,32.4,82.26455,Aphanocapsa,73.2,23727.2199,1736832.498,3044748.041,3.04474804,4051
65,SSB,2021,2/2/2021,0m,Cyanophyta,Aphanothece nidulans,32,0.649676,Aphanothece,60,382.6971,22961.8257,24045.5856,0.02404559,4062
66,SSB,2021,2/2/2021,0m,Cyanophyta,Synechococcus elongatus,3.2,0.450437,Synechococcus,1,9950.1245,9950.1245,16671.4336,0.01667143,4321
67,SSB,2021,2/2/2021,0m,Cyanophyta,Synechococcus sp. 1,1.2,0.299353,Synechococcus,1,27554.1909,27554.1909,11079.5401,0.01107954,4323
68,SSB,2021,2/2/2021,0m,Cyanophyta,Synechocystis,1.496,0.380643,Synechocystis,1,8036.639,8036.639,14088.2282,0.01408823,4285
69,SSB,2021,2/17/2021,0m,Chlorophyta,Chlamydomonas,7.2,69.715458,Chlamydomonas,1,55618.6445,55618.6445,4833949.881,4.83394988,2080
70,SSB,2021,2/17/2021,0m,Chlorophyta,Chlorogonium,85.8,13.293221,Chlorogonium,1,268.1925,268.1925,921729.0802,0.92172908,2110
71,SSB,2021,2/17/2021,0m,Chlorophyta,Schroederia judayi,24,0.11038,Schroederia,1,510.2628,510.2628,7653.5847,0.00765358,2491
72,SSB,2021,2/17/2021,0m,Chrysophyta,Chrysophyceae,1.6,0.007122,NA,1,255.1314,255.1314,493.8323,4.94E-04,1652
73,SSB,2021,2/17/2021,0m,Chrysophyta,Uroglena,6.4,0.284087,Uroglena,1,255.1314,255.1314,19698.1339,0.01969813,1631
74,SSB,2021,2/17/2021,0m,Cyanophyta,Chroococcaceae,0.8,0.138107,NA,1,35718.3956,35718.3956,9576.1019,0.0095761,4282
75,SSB,2021,2/17/2021,0m,Cyanophyta,Aphanocapsa elachista,22.24,6.827712,Aphanocapsa,36.5,7398.8105,270056.5837,473421.7692,0.47342177,4051
76,SSB,2021,2/17/2021,0m,Cyanophyta,Aphanothece nidulans,18,0.030334,Aphanothece,8,2041.0512,16328.4094,2103.3032,0.0021033,4062
77,SSB,2021,2/17/2021,0m,Cyanophyta,Synechococcus elongatus,3.2,0.030825,Synechococcus,1,1275.657,1275.657,2137.3633,0.00213736,4321
78,SSB,2021,2/17/2021,0m,Cyanophyta,Synechococcus sp. 1,1.2,0.872925,Synechococcus,1,150527.5242,150527.5242,60527.1175,0.06052712,4323
79,SSB,2021,2/17/2021,0m,Pyrrhophyta,Gymnodinium sp. 2,36,1.504206,Gymnodinium,1,14.1154,14.1154,104299.0295,0.10429903,6033
80,SSB,2021,2/17/2021,0m,Pyrrhophyta,Peridinium,44.6667,7.185623,Peridinium,1,28.2308,28.2308,498238.7517,0.49823875,6040
81,SSB,2021,3/2/2021,0m,Chlorophyta,Chlorococcaceae,1.6,0.014382,NA,1,765.3942,765.3942,1641.5409,0.00164154,2683
82,SSB,2021,3/2/2021,0m,Chlorophyta,Chlamydomonas,7.12,79.946525,Chlamydomonas,1,95291.5768,95291.5768,9124673.521,9.12467352,2080
83,SSB,2021,3/2/2021,0m,Chlorophyta,Chlorogonium,92,6.872951,Chlorogonium,1,169.3848,169.3848,784442.2353,0.78444224,2110
84,SSB,2021,3/2/2021,0m,Chlorophyta,Schroederia judayi,20,0.013987,Schroederia,1,84.6924,84.6924,1596.4175,0.00159642,2491
85,SSB,2021,3/2/2021,0m,Cryptophyta,Cryptomonas erosa,21,0.620095,Cryptomonas,1,42.3462,42.3462,70774.342,0.07077434,3015
86,SSB,2021,3/2/2021,0m,Cryptophyta,Plagioselmis minuta,8,0.224722,Plagioselmis,1,765.3942,765.3942,25648.589,0.02564859,3043
87,SSB,2021,3/2/2021,0m,Cyanophyta,Chroococcaceae,0.8,0.098884,NA,1,42096.6805,42096.6805,11286.12,0.01128612,4282
88,SSB,2021,3/2/2021,0m,Cyanophyta,Aphanocapsa elachista,27.2,10.495787,Aphanocapsa,49.6,13777.0954,683343.9336,1197933.603,1.1979336,4051
89,SSB,2021,3/2/2021,0m,Cyanophyta,Aphanothece nidulans,12,0.021164,Aphanothece,7,2678.8797,18752.1577,2415.5458,0.00241555,4062
90,SSB,2021,3/2/2021,0m,Cyanophyta,Synechococcus elongatus,3.2,0.08427,Synechococcus,1,5740.4564,5740.4564,9618.1348,0.00961813,4321
91,SSB,2021,3/2/2021,0m,Cyanophyta,Synechococcus sp. 1,1.2,1.06512,Synechococcus,1,302330.7054,302330.7054,121567.1766,0.12156718,4323
92,SSB,2021,3/2/2021,0m,Cyanophyta,Synechocystis,1.496,0.49374,Synechocystis,1,32146.556,32146.556,56352.9127,0.05635291,4285
93,SSB,2021,3/2/2021,0m,Euglenophyta,Euglena,20,0.048372,Euglena,1,21.1731,21.1731,5520.931,0.00552093,5020
94,SSB,2021,3/15/2021,0m,Chlorophyta,Chlamydomonas,11.6,69.092501,Chlamydomonas,1,44775.5602,44775.5602,5472921.197,5.4729212,2080
95,SSB,2021,3/15/2021,0m,Chlorophyta,Chlorogonium,100.8,18.836557,Chlorogonium,1,254.0771,254.0771,1492072.117,1.49207212,2110
96,SSB,2021,3/15/2021,0m,Chlorophyta,Schroederia judayi,14,0.014108,Schroederia,1,84.6924,84.6924,1117.4905,0.00111749,2491
97,SSB,2021,3/15/2021,0m,Cryptophyta,Cryptomonas erosa,29.3333,0.114633,Cryptomonas,1,3.8344,3.8344,9080.2155,0.00908022,3015
98,SSB,2021,3/15/2021,0m,Cyanophyta,Chroococcaceae,0.8,0.051811,NA,1,15307.8838,15307.8838,4104.0437,0.00410404,4282
99,SSB,2021,3/15/2021,0m,Cyanophyta,Aphanocapsa elachista,19.04,7.28551,Aphanocapsa,25.3,13011.7012,329196.0415,577096.2748,0.57709627,4051
100,SSB,2021,3/15/2021,0m,Cyanophyta,Aphanothece nidulans,14.4,1.18996,Aphanothece,10,8036.639,80366.39,94258.5242,0.09425852,4062
101,SSB,2021,3/15/2021,0m,Cyanophyta,Synechococcus elongatus,3.2,0.03238,Synechococcus,1,1530.7884,1530.7884,2564.8359,0.00256484,4321
102,SSB,2021,3/15/2021,0m,Cyanophyta,Synechococcus sp. 1,1.2,0.582804,Synechococcus,1,114809.1286,114809.1286,46164.7506,0.04616475,4323
103,SSB,2021,3/15/2021,0m,Cyanophyta,Synechocystis,1.496,2.625491,Synechocystis,1,118636.0996,118636.0996,207969.0826,0.20796908,4285
104,SSB,2021,3/15/2021,0m,Euglenophyta,Lepocinclis acus,100,0.174247,Lepocinclis,1,21.1731,21.1731,13802.3275,0.01380233,5023
105,SSB,2021,4/13/2021,0m,Chlorophyta,Chlamydomonas,6.64,47.277644,Chlamydomonas,1,39545.3665,39545.3665,2164812.227,2.16481223,2080
106,SSB,2021,4/13/2021,0m,Chlorophyta,Chlorogonium,101.4,29.926075,Chlorogonium,1,155.2694,155.2694,1370295.316,1.37029532,2110
107,SSB,2021,4/13/2021,0m,Chlorophyta,Schroederia judayi,16,0.167148,Schroederia,1,510.2628,510.2628,7653.5847,0.00765358,2491
108,SSB,2021,4/13/2021,0m,Chrysophyta,Chrysophyceae,2,0.014937,NA,1,255.1314,255.1314,683.9562,6.84E-04,1652
109,SSB,2021,4/13/2021,0m,Cryptophyta,Cryptomonas erosa,29.1429,0.383201,Cryptomonas,1,5.9647,5.9647,17546.5171,0.01754652,3015
110,SSB,2021,4/13/2021,0m,Cryptophyta,Plagioselmis minuta,8,0.186714,Plagioselmis,1,255.1314,255.1314,8549.5297,0.00854953,3043
111,SSB,2021,4/13/2021,0m,Cyanophyta,Chroococcaceae,0.8,0.209134,NA,1,35718.3956,35718.3956,9576.1019,0.0095761,4282
112,SSB,2021,4/13/2021,0m,Cyanophyta,Aphanocapsa elachista,14.24,10.153545,Aphanocapsa,18.9,14032.2268,265209.0871,464924.1588,0.46492416,4051
113,SSB,2021,4/13/2021,0m,Cyanophyta,Aphanothece nidulans,6.96,0.889111,Aphanothece,7.4,10460.3873,77406.8658,40711.8273,0.04071183,4062
114,SSB,2021,4/13/2021,0m,Cyanophyta,Synechococcus elongatus,3.2,0.196048,Synechococcus,1,5357.7593,5357.7593,8976.9258,0.00897693,4321
115,SSB,2021,4/13/2021,0m,Cyanophyta,Synechococcus sp. 1,1.2,0.627323,Synechococcus,1,71436.7911,71436.7911,28724.7337,0.02872473,4323
116,SSB,2021,4/13/2021,0m,Cyanophyta,Synechocystis,1.496,5.079077,Synechocystis,1,132668.3264,132668.3264,232567.5762,0.23256758,4285
117,SSB,2021,4/13/2021,0m,Pyrrhophyta,Peridinium,28,4.890042,Peridinium,1,42.3462,42.3462,223911.806,0.22391181,6040
1,SSB,2019,1/8/2019,0m,Chlorophyta,Chlorococcaceae,4.5,0.243188,NA,1,95.2789,95.2789,4714.4108,0.00471441,2683
2,SSB,2019,1/8/2019,0m,Chlorophyta,Chlamydomonas,7.4286,2.225787,Chlamydomonas,1,254.0771,254.0771,43148.7765,0.04314878,2080
3,SSB,2019,1/8/2019,0m,Chlorophyta,Monomastix minuta,6,0.046321,Monomastix,1,63.5193,63.5193,897.9848,8.98E-04,1000538
4,SSB,2019,1/8/2019,0m,Chlorophyta,Schroederia judayi,20,0.030881,Schroederia,1,31.7596,31.7596,598.6565,5.99E-04,2491
5,SSB,2019,1/8/2019,0m,Chrysophyta,Chrysophyceae,4,2.972817,NA,1,1905.5785,1905.5785,57630.6015,0.0576306,1652
6,SSB,2019,1/8/2019,0m,Cryptophyta,Cryptomonas erosa,51.2,5.91767,Cryptomonas,1,11.5033,11.5033,114719.1008,0.1147191,3015
7,SSB,2019,1/8/2019,0m,Cyanophyta,Aphanocapsa elachista,28.3333,2.850225,Aphanocapsa,29.8333,1048.0682,31267.3325,55254.0497,0.05525405,4051
8,SSB,2019,1/8/2019,0m,Cyanophyta,Aphanothece nidulans,40,0.092643,Aphanothece,36,31.7596,1143.3471,1795.9665,0.00179597,4062
9,SSB,2019,1/8/2019,0m,Cyanophyta,Synechococcus elongatus,3,24.70488,Synechococcus,1,76223.1405,76223.1405,478925.2364,0.47892524,4321
10,SSB,2019,1/8/2019,0m,Cyanophyta,Synechocystis,1.5,0.002895,Synechocystis,1,31.7596,31.7596,56.1225,5.61E-05,4285
11,SSB,2019,1/8/2019,0m,Chlorophyta,Chlorogonium,72,60.592489,Chlorogonium,1,66.4638,66.4638,1174637.245,1.17463725,2110
12,SSB,2019,1/8/2019,0m,Miscellaneous,Miscellaneous,3,0.045706,NA,1,63.5193,63.5193,886.0495,8.86E-04,7140
13,SSB,2019,1/8/2019,0m,Pyrrhophyta,Gymnodinium sp. 2,10,0.274498,Gymnodinium,1,31.7596,31.7596,5321.3788,0.00532138,6033
14,SSB,2019,2/16/2019,0m,Chlorophyta,Chlorococcaceae,4.2,5.418823,NA,1,141.154,141.154,16363.245,0.01636325,2683
15,SSB,2019,2/16/2019,0m,Chlorophyta,Chlamydomonas,5.25,3.818141,Chlamydomonas,1,225.8463,225.8463,11529.659,0.01152966,2080
16,SSB,2019,2/16/2019,0m,Chlorophyta,Mucidosphaerium pulchellum,10,0.153525,Mucidosphaerium,4,28.2308,112.9232,463.5976,4.64E-04,2211
17,SSB,2019,2/16/2019,0m,Chrysophyta,Chrysophyceae,3.25,29.438167,NA,1,2202.0018,2202.0018,88894.5939,0.08889459,1652
18,SSB,2019,2/16/2019,0m,Cryptophyta,Cryptomonas erosa,36,4.595584,Cryptomonas,1,2.5563,2.5563,13877.3106,0.01387731,3015
19,SSB,2019,2/16/2019,0m,Cryptophyta,Rhodomonas minuta,8,0.626564,Rhodomonas,1,56.4616,56.4616,1892.0447,0.00189204,3043
20,SSB,2019,2/16/2019,0m,Cyanophyta,Aphanocapsa elachista,47.7778,18.828188,Aphanocapsa,29.2222,1101.0009,32173.669,56855.5773,0.05685558,4051
21,SSB,2019,2/16/2019,0m,Cyanophyta,Aphanothece nidulans,20,0.313286,Aphanothece,16,56.4616,903.3854,946.0252,9.46E-04,4062
22,SSB,2019,2/16/2019,0m,Cyanophyta,Pseudanabaena,12.4,0.546285,Pseudanabaena,3.6,169.3848,609.7851,1649.6212,0.00164962,4460
23,SSB,2019,2/16/2019,0m,Cyanophyta,Synechococcus elongatus,2,35.978702,Synechococcus,1,103748.1635,103748.1635,108645.0768,0.10864508,4321
24,SSB,2019,2/16/2019,0m,Haptophyta,Chrysochromulina parva,4,0.28274,Chrysochromulina,1,28.2308,28.2308,853.7867,8.54E-04,1731
25,SSB,2019,3/6/2019,0m,Chlorophyta,Chlamydomonas,5.75,3.916842,Chlamydomonas,1,112.9232,112.9232,8540.2552,0.00854026,2080
26,SSB,2019,3/6/2019,0m,Chrysophyta,Chrysophyceae,3.4286,33.171114,NA,1,2540.7713,2540.7713,72326.1054,0.07232611,1652
27,SSB,2019,3/6/2019,0m,Cyanophyta,Aphanocapsa elachista,30,21.23742,Aphanocapsa,22.1,1185.6933,26203.8219,46305.9474,0.04630595,4051
28,SSB,2019,3/6/2019,0m,Cyanophyta,Pseudanabaena,12,3.41679,Pseudanabaena,4,790.4622,3161.8488,7449.9481,0.00744995,4460
29,SSB,2019,3/6/2019,0m,Cyanophyta,Pseudanabaena limnetica,9,0.64065,Pseudanabaena,3,197.6155,592.8466,1396.8653,0.00139687,4172
30,SSB,2019,3/6/2019,0m,Cyanophyta,Synechococcus elongatus,3,24.40564,Synechococcus,1,33876.9513,33876.9513,53213.9152,0.05321392,4321
31,SSB,2019,3/6/2019,0m,Chlorophyta,Chlorogonium,56,13.211555,Chlorogonium,1,28.2308,28.2308,28806.3989,0.0288064,2110
32,SSB,2019,3/9/2019,0m,Chlorophyta,Actinastrum hantzschii,24,0.849892,Actinastrum,2,21.1731,42.3462,3831.3922,0.00383139,2021
33,SSB,2019,3/9/2019,0m,Chlorophyta,Chlamydomonas,6,1.962036,Chlamydomonas,1,84.6924,84.6924,8845.0433,0.00884504,2080
34,SSB,2019,3/9/2019,0m,Chrysophyta,Chrysophyceae,3.7143,25.316146,NA,1,3917.0225,3917.0225,114127.5426,0.11412754,1652
35,SSB,2019,3/9/2019,0m,Cryptophyta,Cryptomonas erosa,36,2.204222,Cryptomonas,1,1.2781,1.2781,9936.8397,0.00993684,3015
36,SSB,2019,3/9/2019,0m,Cyanophyta,Aphanocapsa elachista,28,5.907329,Aphanocapsa,18.25,825.7507,15069.9501,26630.79,0.02663079,4051
37,SSB,2019,3/9/2019,0m,Cyanophyta,Pseudanabaena,10.5,0.154928,Pseudanabaena,3.5,84.6924,296.4233,698.4326,6.98E-04,4460
38,SSB,2019,3/9/2019,0m,Cyanophyta,Synechococcus elongatus,2.5,7.654212,Synechococcus,1,26360.5028,26360.5028,34505.8981,0.0345059,4321
39,SSB,2019,3/9/2019,0m,Chlorophyta,Chlorogonium,90,55.951234,Chlorogonium,1,21.1731,21.1731,252233.3671,0.25223337,2110
40,SSB,2019,4/30/2019,0m,Bacillariophyta,Tabellaria flocculosa,74,6.78916,Tabellaria,1,56.4616,56.4616,300827.3278,0.30082733,1332
41,SSB,2019,4/30/2019,0m,Chlorophyta,Chlamydomonas,8,1.399386,Chlamydomonas,1,282.3079,282.3079,62006.7343,0.06200673,2080
42,SSB,2019,4/30/2019,0m,Chlorophyta,Monomastix minuta,6,0.018014,Monomastix,1,56.4616,56.4616,798.2087,7.98E-04,1000538
43,SSB,2019,4/30/2019,0m,Chlorophyta,Schroederia judayi,36.6667,0.056044,Schroederia,1,112.9232,112.9232,2483.3047,0.0024833,2491
44,SSB,2019,4/30/2019,0m,Chlorophyta,Scourfieldia cordiformis,5,0.041367,Scourfieldia,1,28.2308,28.2308,1832.9492,0.00183295,8491
45,SSB,2019,4/30/2019,0m,Chlorophyta,Ulothrix,200,10.007871,Ulothrix,13.3333,28.2308,376.4096,443448.2569,0.44344826,2590
46,SSB,2019,4/30/2019,0m,Chrysophyta,Chrysophyceae,5,3.584587,NA,1,3557.0799,3557.0799,158832.8655,0.15883287,1652
47,SSB,2019,4/30/2019,0m,Chrysophyta,Chrysophyceae,10.6667,1.198169,NA,1,84.6924,84.6924,53090.8063,0.05309081,1653
48,SSB,2019,4/30/2019,0m,Cryptophyta,Cryptomonas erosa,10,0.213501,Cryptomonas,1,56.4616,56.4616,9460.229,0.00946023,3015
49,SSB,2019,4/30/2019,0m,Cryptophyta,Rhodomonas minuta,8,0.02135,Rhodomonas,1,28.2308,28.2308,946.0223,9.46E-04,3043
50,SSB,2019,4/30/2019,0m,Cyanophyta,Aphanocapsa elachista,40,0.058546,Aphanocapsa,26,56.4616,1468.0012,2594.1727,0.00259417,4051
51,SSB,2019,4/30/2019,0m,Cyanophyta,Aphanothece nidulans,22,0.056616,Aphanothece,8.8571,254.0771,2250.3866,2508.656,0.00250866,4062
52,SSB,2019,4/30/2019,0m,Cyanophyta,Synechococcus elongatus,2.6667,1.507892,Synechococcus,1,47851.1938,47851.1938,66814.6218,0.06681462,4321
53,SSB,2019,4/30/2019,0m,Chlorophyta,Chlorogonium,79.1429,74.75927,Chlorogonium,1,734.0006,734.0006,3312579.554,3.31257955,2110
54,SSB,2019,4/30/2019,0m,Miscellaneous,Miscellaneous,12,0.288227,NA,1,56.4616,56.4616,12771.3114,0.01277131,7130
55,SSB,2020,1/7/2020,0m,Chlorophyta,Chlorococcaceae,5,0.674148,NA,1,127.0386,127.0386,8314.6488,0.00831465,2683
