raw_id,tracking_id,customer_id,job_id,sample_id,system_name,site,station,sample_date,year,calculation_type,level_,replicate_,depth,fraction,report_note,taxa_id,custom_taxa_id,pollution_tolerance_class,organism,habitat,phylum,division,class_,subclass_,order_,suborder,family,subfamily,tribe,genus,subgenus,species,subspecies,variety,form_,morph,coloniality,coloniality_state,structure_,physiological_state,taxonomic_authority,assay_class,palmer_index,environmental_tolerance_class,area_per_unit_square_um,volume_per_unit_cubic_um,area_to_volume_ratio,biovolume_to_volume_ratio,biovolume_per_unit_cubic_um,biomass_per_animal_ug,average_cells_per_natural_unit,concentration_natural_unit_per_ml_,total_area_square_um_per_ml_,relative_total_area_percent,total_volume_cubic_um_per_ml_,relative_total_volume_percent,total_biovolume_cubic_um_per_ml_,relative_total_biovolume_percent,total_animal_biomass_ug_per_ml_,relative_total_animal_biomass_percent,algal_cell_concentration_cells_per_ml_,algal_biomass_concentration_mg_per_l_,relative_algal_cell_concentration_percent,relative_algal_biomass_concentration_percent,relative_concentration_percent,average_gald_um,taxa_count,uncertain,customer_requested_units,alternate_taxa_name,sample_weight,sample_weight_unit,measurement_notes,tally_notes
11,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,2110,.,0,Algae,Freshwater,.,Chlorophyta,Chlorophyceae,.,Volvocales,.,Chlamydomonadaceae,.,.,Chlorogonium,.,.,.,.,.,.,Cell-Nonmotile,Free,Vegetative,Live,Dang.,1,0,"., ., ., ., ., ., ., ., ., ., ., .",4364.1155,17673.3436,0.247,1,17673.3436,0,1,66.4638,290055.6185,0.07589501,1174637.245,0.09811656,1174637.245,0.60592489,0,0,66.4638,1.17463725,0.00059775,0.60592489,0.00083227,72,52,TRUE,NU/ml,,0,.,.,
12,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,7140,.,0,Algae,Freshwater,.,Miscellaneous,.,.,.,.,.,.,.,.,.,.,.,.,.,Microflagellate,Cell-Motile,Free,Vegetative,Live,N/A,1,0,"., ., ., ., ., ., ., ., ., ., ., .",28.0235,13.9493,2.009,1,13.9493,0,1,63.5193,1780.0326,0.00046576,886.0495,0.00007401,886.0495,0.00045706,0,0,63.5193,0.00088605,0.00057127,0.00045706,0.0007954,3,2,FALSE,NU/ml,,0,.,.,
13,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,6033,.,0,Algae,Freshwater,.,Pyrrhophyta,Dinophyceae,.,Gymnodinales,.,Gymnodiniaceae,.,.,Gymnodinium,.,sp. 2,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Stein,1,0,"., ., ., ., ., ., ., ., ., ., ., .",166.8556,167.5516,0.996,1,167.5516,0,1,31.7596,5299.2741,0.00138659,5321.3788,0.00044449,5321.3788,0.00274498,0,0,31.7596,0.00532138,0.00028564,0.00274498,0.0003977,10,1,FALSE,NU/ml,,0,.,.,
14,200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,2683,.,0,Algae,Freshwater,.,Chlorophyta,Chlorophyceae,.,Chlorococcales,.,Chlorococcaceae,.,.,.,.,.,.,.,.,2-9.9 um spherical,Cell-Nonmotile,Free,Vegetative,Live,N/A,1,0,"., ., ., ., ., ., ., ., ., ., ., .",83.5664,115.9248,0.721,1,115.9248,0,1,141.154,11795.7286,0.00200646,16363.245,0.0004618,16363.245,0.05418822,0,0,141.154,0.01636325,0.00100677,0.05418823,0.0013099,4.2,5,FALSE,NU/ml,,0,.,.,
15,200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,2080,.,0,Algae,Freshwater,.,Chlorophyta,Chlorophyceae,.,Volvocales,.,Chlamydomonadaceae,.,.,Chlamydomonas,.,.,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Ehrenberg,1,4,"., ., ., ., ., ., ., ., ., ., ., .",66.4197,51.0509,1.301,1,51.0509,0,1,225.8463,15000.6463,0.00255162,11529.659,0.00032539,11529.659,0.0381814,0,0,225.8463,0.01152966,0.00161084,0.03818141,0.00209584,5.25,8,FALSE,NU/ml,,0,.,.,
16,200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,2211,.,0,Algae,Freshwater,.,Chlorophyta,Chlorophyceae,.,Chlorococcales,.,Dictyosphaeriaceae,.,.,Mucidosphaerium,.,pulchellum,.,.,.,.,Colonial-Nonmotile,Attached,Vegetative,Live,"C.Bock, Proschold & Krienitz, 2011",1,0,"., ., ., ., ., ., ., ., ., ., ., .",49.5973,16.4217,3.02,1,16.4217,0,4,28.2308,1400.1711,0.00023817,463.5976,0.00001308,463.5976,0.00153524,0,0,112.9232,0.0004636,0.00080542,0.00153525,0.00026198,10,1,FALSE,NU/ml,Dictyosphaerium pulchellum,0,.,.,
17,200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,1652,.,0,Algae,Freshwater,.,Chrysophyta,Chrysophyceae,.,.,.,.,.,.,.,.,.,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Cienkowski .,1,0,"., ., ., ., ., ., ., ., ., ., ., .",42.9628,40.3699,1.064,1,40.3699,0,1,2202.0018,94604.1645,0.01609225,88894.5939,0.00250875,88894.5939,0.29438168,0,0,2202.0018,0.08889459,0.01570568,0.29438167,0.02043441,3.25,78,FALSE,NU/ml,,0,.,.,
18,200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,3015,.,0,Algae,Freshwater,.,Cryptophyta,Cryptophyceae,.,Cryptomonadales,.,Cryptomonadaceae,.,.,Cryptomonas,.,erosa,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Ehrenberg .,1,0,".,.,.,.,.,.,.,.,.,.,.,.",1760.5137,5428.6721,0.324,1,5428.6721,0,1,2.5563,4500.3999,0.00076552,13877.3106,0.00039164,13877.3106,0.04595584,0,0,2.5563,0.01387731,0.00001823,0.04595584,0.00002372,36,3,FALSE,NU/ml,,0,.,.,
19,200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,3043,.,0,Algae,Freshwater,.,Cryptophyta,Cryptophyceae,.,Cryptomonadales,.,Cryptomonadaceae,.,.,Rhodomonas,.,minuta,.,nannoplanctica,.,.,Cell-Motile,Free,Vegetative,Live,Skuja,1,0,"., ., ., ., ., ., ., ., ., ., ., .",43.9823,33.5103,1.313,1,33.5103,0,1,56.4616,2483.3104,0.00042241,1892.0447,0.0000534,1892.0447,0.00626566,0,0,56.4616,0.00189204,0.00040271,0.00626564,0.00052396,8,2,FALSE,NU/ml,Rhodomonas lacustris,0,.,.,
20,200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4051,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Chroococcales,.,Chroococcaceae,.,.,Aphanocapsa,.,elachista,.,.,.,.,Colonial-Nonmotile,Attached,Vegetative,Live,West & West,1,0,"., ., ., ., ., ., ., ., ., ., ., .",4651.3906,31779.0481,0.146,0.00162497,51.6399,0,29.2222,1101.0009,5121185.322,0.87111807,34988761.14,0.98743819,56855.5773,0.18828187,0,0,32173.669,0.05685558,0.22947725,0.18828188,0.01021721,47.7778,39,TRUE,NU/ml,,0,.,.,
21,200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4062,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Chroococcales,.,Chroococcaceae,.,.,Aphanothece,.,nidulans,.,.,.,.,Colonial-Nonmotile,Attached,Vegetative,Live,P. Richter,1,0,"., ., ., ., ., ., ., ., ., ., ., .",1109.0452,3558.9637,0.312,0.00470788,16.7552,0,16,56.4616,62618.4504,0.01065145,200944.7334,0.00567098,946.0252,0.00313284,0,0,903.3854,0.00094603,0.00644336,0.00313286,0.00052396,20,2,FALSE,NU/ml,Aphanothece smithii,0,.,.,
22,200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4460,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Nostocales,.,Nostocaceae,.,.,Pseudanabaena,.,.,.,.,.,.,Filament,Attached,Vegetative,Live,Lauterborn,1,0,".,.,.,.,.,.,.,.,.,.,.,.",40.5265,9.7389,4.161,1,9.7389,0,3.6,169.3848,6864.5713,0.00116767,1649.6212,0.00004655,1649.6212,0.00546285,0,0,609.7851,0.00164962,0.00434926,0.00546285,0.00157188,12.4,6,FALSE,NU/ml,,0,.,.,
23,200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4321,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Chroococcales,.,Chroococcaceae,.,.,Synechococcus,.,elongatus,.,.,.,.,Cell-Nonmotile,Free,Vegetative,Live,Nageli,1,0,".,.,.,.,.,.,.,.,.,.,.,.",5.3696,1.0472,5.128,1,1.0472,0,1,103748.1635,557086.1385,0.09476084,108645.0768,0.00306614,108645.0768,0.35978701,0,0,103748.1635,0.10864508,0.73997912,0.35978702,0.96277517,2,3675,FALSE,NU/ml,,0,.,.,
24,200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,1731,.,0,Algae,Freshwater,.,Haptophyta,Prymnesiophyceae,.,Prymnesiales,.,Chromulinaceae,.,.,Chrysochromulina,.,parva,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Lackey,1,0,"., ., ., ., ., ., ., ., ., ., ., .",46.9645,30.2431,1.553,1,30.2431,0,1,28.2308,1325.8451,0.00022553,853.7867,0.0000241,853.7867,0.00282738,0,0,28.2308,0.00085379,0.00020135,0.0028274,0.00026198,4,1,FALSE,NU/ml,cf Erkenia subaequiciliata,0,.,.,
25,200037-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/6/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,2080,.,0,Algae,Freshwater,.,Chlorophyta,Chlorophyceae,.,Volvocales,.,Chlamydomonadaceae,.,.,Chlamydomonas,.,.,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Ehrenberg,1,4,"., ., ., ., ., ., ., ., ., ., ., .",81.4031,75.6289,1.076,1,75.6289,0,1,112.9232,9192.2962,0.00249577,8540.2552,0.00042981,8540.2552,0.0391684,0,0,112.9232,0.00854026,0.00169765,0.03916842,0.00291545,5.75,4,FALSE,NU/ml,,0,.,.,
26,200037-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/6/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,1652,.,0,Algae,Freshwater,.,Chrysophyta,Chrysophyceae,.,.,.,.,.,.,.,.,.,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Cienkowski .,1,0,"., ., ., ., ., ., ., ., ., ., ., .",39.7212,28.4662,1.395,1,28.4662,0,1,2540.7713,100922.4869,0.0274011,72326.1054,0.00364002,72326.1054,0.33171112,0,0,2540.7713,0.07232611,0.0381971,0.33171114,0.06559767,3.4286,90,FALSE,NU/ml,,0,.,.,
27,200037-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/6/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4051,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Chroococcales,.,Chroococcaceae,.,.,Aphanocapsa,.,elachista,.,.,.,.,Colonial-Nonmotile,Attached,Vegetative,Live,West & West,1,0,"., ., ., ., ., ., ., ., ., ., ., .",2741.4544,16613.0352,0.165,0.0023508,39.0539,0,22.1,1185.6933,3250524.105,0.88253794,19697964.47,0.99135702,46305.9474,0.21237418,0,0,26203.8219,0.04630595,0.39393939,0.2123742,0.03061225,30,42,FALSE,NU/ml,,0,.,.,
28,200037-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/6/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4460,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Nostocales,.,Nostocaceae,.,.,Pseudanabaena,.,.,.,.,.,.,Filament,Attached,Vegetative,Live,Lauterborn,1,0,".,.,.,.,.,.,.,.,.,.,.,.",39.2699,9.4248,4.167,1,9.4248,0,4,790.4622,31041.3715,0.00842793,7449.9481,0.00037494,7449.9481,0.03416789,0,0,3161.8488,0.00744995,0.04753417,0.0341679,0.02040816,12,28,FALSE,NU/ml,,0,.,.,
29,200037-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/6/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4172,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Nostocales,.,Nostocaceae,.,.,Pseudanabaena,.,limnetica,.,.,.,.,Filament,Attached,Vegetative,Live,Lemmermann,1,0,"., ., ., ., ., ., ., ., ., ., ., .",29.8451,7.0686,4.222,1,7.0686,0,3,197.6155,5897.8558,0.00160131,1396.8653,0.0000703,1396.8653,0.00640648,0,0,592.8466,0.00139687,0.00891266,0.0064065,0.00510204,9,7,FALSE,NU/ml,"Pseudanabaena limnetica, Oscillatoria limnetica",0,.,.,
30,200037-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/6/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4321,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Chroococcales,.,Chroococcaceae,.,.,Synechococcus,.,elongatus,.,.,.,.,Cell-Nonmotile,Free,Vegetative,Live,Nageli,1,0,".,.,.,.,.,.,.,.,.,.,.,.",7.7234,1.5708,4.917,1,1.5708,0,1,33876.9513,261645.2459,0.07103835,53213.9152,0.00267814,53213.9152,0.24405638,0,0,33876.9513,0.05321392,0.50929463,0.2440564,0.87463557,3,1200,FALSE,NU/ml,,0,.,.,
31,200037-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/6/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,2110,.,0,Algae,Freshwater,.,Chlorophyta,Chlorophyceae,.,Volvocales,.,Chlamydomonadaceae,.,.,Chlorogonium,.,.,.,.,.,.,Cell-Nonmotile,Free,Vegetative,Live,Dang.,1,0,"., ., ., ., ., ., ., ., ., ., ., .",847.7174,1020.3893,0.831,1,1020.3893,0,1,28.2308,23931.7343,0.00649762,28806.3989,0.00144977,28806.3989,0.13211555,0,0,28.2308,0.0288064,0.00042441,0.13211555,0.00072886,56,1,TRUE,NU/ml,,0,.,.,
32,200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,2021,.,0,Algae,Freshwater,.,Chlorophyta,Chlorophyceae,.,Chlorococcales,.,Scenedesmaceae,.,.,Actinastrum,.,hantzschii,.,.,.,.,Cell-Nonmotile,Free,Vegetative,Live,Lagerheim,1,0,"., ., ., ., ., ., ., ., ., ., ., .",226.1947,180.9557,1.25,1,180.9557,0,2,21.1731,4789.2418,0.002051,3831.3922,0.00034028,3831.3922,0.00849892,0,0,42.3462,0.00383139,0.00092472,0.00849892,0.00067611,24,1,FALSE,NU/ml,,0,.,.,
33,200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,2080,.,0,Algae,Freshwater,.,Chlorophyta,Chlorophyceae,.,Volvocales,.,Chlamydomonadaceae,.,.,Chlamydomonas,.,.,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Ehrenberg,1,4,"., ., ., ., ., ., ., ., ., ., ., .",103.4653,104.4373,0.991,1,104.4373,0,1,84.6924,8762.7223,0.00375265,8845.0433,0.00078557,8845.0433,0.01962037,0,0,84.6924,0.00884504,0.00184945,0.01962036,0.00270442,6,4,FALSE,NU/ml,,0,.,.,
34,200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,1652,.,0,Algae,Freshwater,.,Chrysophyta,Chrysophyceae,.,.,.,.,.,.,.,.,.,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Cienkowski .,1,0,"., ., ., ., ., ., ., ., ., ., ., .",43.7717,29.1363,1.502,1,29.1363,0,1,3917.0225,171454.7337,0.07342573,114127.5426,0.01013623,114127.5426,0.25316146,0,0,3917.0225,0.11412754,0.08553686,0.25316146,0.12507941,3.7143,185,FALSE,NU/ml,,0,.,.,
35,200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,3015,.,0,Algae,Freshwater,.,Cryptophyta,Cryptophyceae,.,Cryptomonadales,.,Cryptomonadaceae,.,.,Cryptomonas,.,erosa,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Ehrenberg .,1,0,".,.,.,.,.,.,.,.,.,.,.,.",2128.4717,7774.3946,0.274,1,7774.3946,0,1,1.2781,2720.5053,0.00116506,9936.8397,0.00088254,9936.8397,0.02204222,0,0,1.2781,0.00993684,0.00002791,0.02204222,0.00004081,36,2,FALSE,NU/ml,,0,.,.,
36,200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4051,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Chroococcales,.,Chroococcaceae,.,.,Aphanocapsa,.,elachista,.,.,.,.,Colonial-Nonmotile,Attached,Vegetative,Live,West & West,1,0,"., ., ., ., ., ., ., ., ., ., ., .",2291.0328,13121.6209,0.175,0.00245781,32.2504,0,18.25,825.7507,1891821.912,0.8101754,10835187.5,0.96232661,26630.79,0.05907329,0,0,15069.9501,0.02663079,0.32908572,0.05907329,0.02636809,28,39,FALSE,NU/ml,,0,.,.,
37,200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4460,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Nostocales,.,Nostocaceae,.,.,Pseudanabaena,.,.,.,.,.,.,Filament,Attached,Vegetative,Live,Lauterborn,1,0,".,.,.,.,.,.,.,.,.,.,.,.",34.5575,8.2467,4.19,1,8.2467,0,3.5,84.6924,2926.7569,0.00125339,698.4326,0.00006203,698.4326,0.00154929,0,0,296.4233,0.00069843,0.00647306,0.00154928,0.00270442,10.5,4,FALSE,NU/ml,,0,.,.,
